Assigned_DT,Name,peakdemand,Use_type
4,CHS48BB0020060001,46.06851448,Residential
5,CHS48BB0020060002,32.76925146,Residential
6,CHS48BB0020060003,265.4669357,University
4,CHS48BB0020060004,30.84203771,Residential
1,CHS48BB0020060005,54.70659779,Residential
7,CHS48BB0020060006,140.6464051,University
5,CHS48BB0020060007,48.46174616,Residential
4,CHS48BB0020060008,82.11248364,Residential
2,CHS48BB0020060009,56.50589116,Residential
1,CHS48BB0020060010,54.75176848,Residential
1,CHS48BB0020060011,104.2129429,School
2,CHS48BB0020060012,57.24755404,Residential
5,CHS48BB0020060013,56.96121511,Residential
7,CHS48BB0020060014,55.47664795,Residential
5,CHS48BB0020060015,45.50556503,Residential
7,CHS48BB0020060016,80.27822837,Residential
5,CHS48BB0020060017,47.01876995,Residential
4,CHS48BB0020060018,11.26329907,Residential
4,CHS48BB0020060019,187.572498,University
1,CHS48BB0020060020,55.1267999,Residential
5,CHS48BB0020060021,64.80700332,School
5,CHS48BB0020060022,11.04545336,Residential
5,CHS48BB0020060023,7.209884004,Residential
6,CHS48BB0020060024,13.19839618,Residential
6,CHS48BB0020060025,70.80596548,Residential
2,CHS48BB0020060026,42.2351119,Residential
2,CHS48BB0020060027,90.63438848,Residential
2,CHS48BB0020060028,91.72311302,Residential
3,CHS48BB0020060029,92.06133949,Residential
2,CHS48BB0020060030,71.04181294,Residential
5,CHS48BB0020060031,10.74242328,Residential
3,CHS48BB0020060032,84.90979533,Residential
3,CHS48BB0020060033,30.19417703,Mixed
1,CHS48BB0020060034,35.44843663,Residential
3,CHS48BB0020060036,92.82635912,Residential
2,CHS48BB0020060037,73.27242973,Mixed
2,CHS48BB0020060038,83.96396928,Residential
2,CHS48BB0020060040,176.1681989,Mixed
3,CHS48BB0020060041,38.04505646,Mixed
8,CHS48CB0030200001,2.659202948,Retail
9,CH23401,1.488258278,Industrial
8,CHS48CB0030200002,3.438354676,Commercial
8,CHS48CB0030200003,4.845476105,Commercial
8,CHS48CB0030200004,1.855534853,Commercial
9,CHS48CB0030200005,1.065247276,Commercial
8,CHS48CB0030200006,4.897823684,Commercial
9,CHS48CB0030200007,1.598346487,Commercial
9,CHS48CB0030200008,3.057580351,Commercial
8,CHS48CB0030200009,1.494384293,Commercial
8,CHS48CB0030200010,1.648477495,Commercial
9,CHS48CB0030200011,0.815552218,Commercial
9,CHS48CB0030200012,0.777454162,Commercial
9,CHS48CB0030200013,0.756988144,Commercial
9,CHS48CB0030200014,0.69515063,Commercial
9,CHS48CB0030200015,0.770845601,Commercial
9,CHS48CB0030200016,0.747840426,Commercial
9,CHS48CB0030200017,4.897790252,Commercial
9,CHS48CB0030200018,4.897798274,Commercial
8,CHS48CB0030200019,4.89779162,Commercial
8,CHS48CB0030200020,4.897787979,Commercial
8,CHS48CB0030200021,4.89782461,Commercial
9,CHS48CB0030200022,4.897794093,Commercial
8,CHS48CB0030200023,4.897817622,Commercial
9,CHS48CB0030200024,4.897794092,Commercial
9,CHS48CB0030200025,4.897794093,Commercial
8,CHS48CB0030200026,4.897823683,Commercial
9,CHS48CB0030200027,4.897794093,Commercial
8,CHS48CB0030200028,4.897823683,Commercial
8,CHS48CB0030200029,4.897823683,Commercial
9,CHS48CB0030200030,4.89779533,Commercial
8,CHS48CB0030200031,4.897823683,Commercial
9,CHS48CB0030200032,4.897800161,Commercial
9,CHS48CB0030200033,4.897767759,Commercial
8,CHS48CB0030200034,4.897823683,Commercial
9,CHS48CB0030200035,4.897823683,Commercial
8,CHS48CB0030200036,4.844533801,Commercial
8,CHS48CB0030200037,4.844920375,Commercial
8,CHS48CB0030200038,4.845001263,Commercial
8,CHS48CB0030200039,4.845001263,Commercial
9,CHS48CB0030200040,4.844979452,Commercial
9,CHS48CB0030200041,4.845001263,Commercial
8,CHS48CB0030200042,4.845002423,Commercial
