,G1
0,0.2551456477932561
1,0.25372282343244024
2,0.25380303954671035
3,0.25397230400551507
4,0.2538147635301584
5,0.2940062782175801
6,0.4711092309743208
7,0.49285689630698926
8,0.5917130870660685
9,0.5555662865467639
10,0.4346942574662762
11,0.44454441430741554
12,0.4811807454831296
13,0.574594990169885
14,0.4184431061306668
15,0.43851574719599284
16,0.4251956535484851
17,0.5914563521210994
18,0.6157184296499736
19,0.5619281782535381
20,0.779551440151522
21,0.8093134831757425
22,0.6270684261172619
23,0.405980102467538
