,L1,L2,L3,L4,L5,L6,L7,L8,L9
0,-0.2146794757116747,-0.10300198960593411,-0.013840457177792396,-0.044069546720044,-0.020067876158817888,-0.08970066941708481,-0.023803857356385617,-0.03860374045929674,-0.02222211367933446
1,-0.21175844264734353,-0.09833965854503127,-0.013844580910483989,-0.043687935789540513,-0.01923055670305435,-0.09279653140634057,-0.02432212811299959,-0.040491136892067243,-0.023350791037520077
2,-0.2119224539666591,-0.0984132486745956,-0.013844905171241623,-0.04371968090569728,-0.019239131698732433,-0.09287365490187584,-0.024343222254924857,-0.04051412925394463,-0.02336489548508068
3,-0.2122734294330982,-0.0992229186747943,-0.013848515192471746,-0.044068965541145554,-0.01933350002729586,-0.09226918824534522,-0.024489104780051254,-0.039411256634184155,-0.022702420604430215
4,-0.21195130657282985,-0.09907573573617269,-0.01384786649548768,-0.04400547428468533,-0.019316349781546196,-0.09212084191807927,-0.024447265645097645,-0.039370775397829474,-0.022677530554887686
5,-0.29404936256556863,-0.1600344026902747,-0.02776684617484422,-0.06598287128096914,-0.03271085360256145,-0.1029499769326581,-0.03131712249293365,-0.03920343925618318,-0.02257526589117955
6,-0.6515384157278767,-0.4122251071314811,-0.08058301824010773,-0.15644080749282444,-0.08360036944223642,-0.16623923221797138,-0.06318110576575046,-0.04273922383372828,-0.02457504325391582
7,-0.6949806824181155,-0.4415789085723401,-0.09505281680808111,-0.1620361769262479,-0.09031751073903543,-0.17851307344251557,-0.06425776029550492,-0.061450122159078864,-0.03571846998039627
8,-0.8920131304692571,-0.5275521010255436,-0.10995890284845002,-0.2075252540457679,-0.11290501414177441,-0.263897748784453,-0.09454085675754038,-0.09105928802232947,-0.05302180055518024
9,-0.8201898491106678,-0.38447642019419187,-0.06328103178935778,-0.19377160114892608,-0.0824702937756259,-0.3504708301602176,-0.10722313981587371,-0.11661488388263637,-0.06841856973844841
10,-0.5769726075755596,-0.18593855428014217,-0.01815709206055658,-0.12216889535959048,-0.04130896698612083,-0.3380726991964692,-0.08450041600539723,-0.14555521138232366,-0.08594147458835916
11,-0.5963357138942414,-0.18519915027131695,-0.018153217268955853,-0.12184942009910746,-0.04122249158002753,-0.3582791781862892,-0.08570316253606139,-0.16423402705211657,-0.09710540160944012
12,-0.6702832766226362,-0.24289324026349593,-0.030174356477862044,-0.1389070194831439,-0.04721678839068781,-0.37353588222199374,-0.09370036908519658,-0.16252297735289967,-0.09630042326533045
13,-0.857460255470501,-0.37280112890390826,-0.0585918201966848,-0.1904532358543277,-0.07928403553363698,-0.40105984330290095,-0.10947779694916485,-0.16194890984433818,-0.09581515335976604
14,-0.5445476908268001,-0.18474101697872772,-0.018146186629416403,-0.10366658790264636,-0.03962739538860101,-0.3095759860701476,-0.07246624483497209,-0.1527017933716167,-0.09014901178613847
15,-0.5844732141165717,-0.19040608869234812,-0.018149857018230776,-0.11968387811119405,-0.03492536448454304,-0.3513556414255821,-0.08785345357179628,-0.14961085337477595,-0.08828943261113416
16,-0.5576962640840918,-0.1768637741453954,-0.018151861046513545,-0.1138523426764601,-0.03341111121769443,-0.34058629159555,-0.08435086644863991,-0.148740350253099,-0.0878555086619084
17,-0.8913921181265825,-0.4201965448948154,-0.07308500742521593,-0.20135089701730155,-0.08585694260367321,-0.39069521326777706,-0.11274594087419064,-0.15216677641312037,-0.08992691714958645
18,-0.9397810447725641,-0.4821602709938909,-0.09145284368169604,-0.21135951261835723,-0.09445459544082757,-0.3780726401098027,-0.11409090721579643,-0.1469245165754206,-0.08676893748469798
19,-0.8330302714789505,-0.4529065084469584,-0.09145993992766176,-0.18167422811641276,-0.09389213543242107,-0.3016462127581667,-0.09121003352604552,-0.13548907232575672,-0.08001489385470739
20,-1.2602429238659456,-0.7846973325243195,-0.17025806874711197,-0.2959043607645586,-0.16286177133873334,-0.3431578596551111,-0.126500237646469,-0.11875580376830934,-0.06993683428625379
21,-1.317416623025285,-0.8452928664365251,-0.18473190361475983,-0.3166128815269834,-0.17535342415766808,-0.3299077579886931,-0.12168133775119504,-0.10642235275961683,-0.06296341776311237
22,-0.9613169072719077,-0.6130614420786841,-0.12349721803408767,-0.2389049648696959,-0.12465641025500342,-0.2435672696310789,-0.0962086629162329,-0.052905899346665244,-0.030695422139975587
23,-0.5209779707014095,-0.3040021746933363,-0.057387771659710804,-0.12793720403495534,-0.061004934333845566,-0.16420204708370964,-0.05771459520500192,-0.04333585925042302,-0.02505620419913278
