,L1,L2,L3,L4,L5,L6,L7,L8,L9
0,-0.09538236049725633,-0.053154218292400066,-0.004300376871701862,-0.021895347862174667,-0.009990299398560132,-0.03396301279546806,-0.009155630355973117,-0.013978902671973015,-0.00841066435341366
1,-0.09396304611646503,-0.05088250954847622,-0.004302305442742416,-0.021709991330186845,-0.009582999754706625,-0.03547659269005745,-0.009408568795041884,-0.01490458702099292,-0.008964017643178973
2,-0.09404306630965267,-0.05091834960919759,-0.004302466187940136,-0.021725446308416694,-0.009587170229279232,-0.035514281962160034,-0.009418868173358116,-0.014915873808850798,-0.008970937927239353
3,-0.09421191203891299,-0.05131271709092607,-0.0043042343190436375,-0.021895502944490924,-0.009633069139718536,-0.035217622693186554,-0.009490075009625955,-0.014374877609156806,-0.008646098912070656
4,-0.09405475685895986,-0.05124103112473884,-0.004303912828378835,-0.02186459087708938,-0.00962472786614396,-0.03514513497023498,-0.009469645925851347,-0.014355011572419408,-0.008633890556060108
5,-0.13412868195386723,-0.08097960738375554,-0.011098271640631359,-0.03257556475817293,-0.016150820930048826,-0.040437830502810794,-0.012828050790363582,-0.014275591688099372,-0.008585084120365754
6,-0.31026233647007034,-0.20526396356864726,-0.03722959790069251,-0.07698819076231017,-0.041150756455595655,-0.07152653298747344,-0.0285038630915299,-0.016022592091713583,-0.009572003647542267
7,-0.33184118782954974,-0.21991665487119977,-0.044484656114508886,-0.07975947095023733,-0.04447511274251813,-0.07754814987725175,-0.029037036743796697,-0.02523904533213313,-0.015058292869313856
8,-0.4297925473917752,-0.262756224440018,-0.05200641852865506,-0.10230386765231166,-0.05569628826439899,-0.11979270955664434,-0.0440916873812454,-0.03994503179401426,-0.023646947346323905
9,-0.3940021580879188,-0.19144790128931222,-0.028613300345633117,-0.09548878785757012,-0.040592234390186284,-0.16300415874819524,-0.05043914974197507,-0.05274519035750771,-0.03135415102247185
10,-0.27411024263691647,-0.09375644405008983,-0.006408837683449672,-0.06014751018565711,-0.020351594254431518,-0.15686411280026805,-0.039080645376480726,-0.06736329516248378,-0.040201946155770545
11,-0.28389471817728584,-0.0933939777681099,-0.00640722915755588,-0.05999008876146034,-0.020309278649353397,-0.16706243712556393,-0.03968011525311609,-0.0768797550425565,-0.04588752559247056
12,-0.32026138235219265,-0.12165977841189424,-0.01228333736605462,-0.06839834576765581,-0.023243504674587436,-0.17467002557091002,-0.04366964281959069,-0.0760090529113983,-0.045478148902541565
13,-0.4128492953150004,-0.1856706312597294,-0.026288176870752404,-0.09384893172997087,-0.039017885028581605,-0.18845146736831248,-0.05157257973539258,-0.07572468855289813,-0.045235086194402
14,-0.25796384775474934,-0.09309105781976164,-0.0064030352153119025,-0.05103170952400912,-0.019529275306370525,-0.14273220284419447,-0.03310083912219485,-0.07099473086578931,-0.04233924727523971
15,-0.27790654375280077,-0.09595566086802708,-0.006405456286276381,-0.058954789245670595,-0.017231579393440066,-0.1635171942631733,-0.04075105430136616,-0.06942497988419337,-0.0413950253296593
16,-0.2646744555355853,-0.08932092086613207,-0.006405935584842623,-0.05608130192394389,-0.016492273520149172,-0.1581330119630834,-0.03900588800497303,-0.06898093768751802,-0.04117371378004657
17,-0.4295390537722109,-0.20916156663250887,-0.033491595279066755,-0.09925333703205454,-0.04226732721849476,-0.183199887910967,-0.05321450864410495,-0.07073867458989727,-0.04223475261439765
18,-0.45354430741211615,-0.24000039111151092,-0.04268139394506458,-0.10421588357042547,-0.04652607148850737,-0.17684226920886506,-0.05389134481317473,-0.06807430879592366,-0.04063018670784764
19,-0.4003028544992635,-0.2254670475975338,-0.04268256597284655,-0.08946659497573486,-0.04624690293218815,-0.13866835589342905,-0.04242871160232762,-0.06226863674461785,-0.0372028821209325
20,-0.6153200304604863,-0.3926130554912187,-0.08289089206384372,-0.1465058161295139,-0.08074921164516678,-0.15933879172451856,-0.060149576552511005,-0.05383879370516582,-0.03212631369649368
21,-0.6446493692191654,-0.42354374283565066,-0.09041539599916909,-0.15694077147492416,-0.08706428021661508,-0.15271724483311783,-0.05771974170867724,-0.04764388328237786,-0.02862458409114276
22,-0.46477417366495627,-0.3056322128791879,-0.058875085823362795,-0.1179256965392973,-0.06156019712734778,-0.10982015555075966,-0.044925971523063095,-0.02103361418134426,-0.012586236832597774
23,-0.24557386611870624,-0.15165926833258714,-0.02568553713946105,-0.06293645119578971,-0.030010169095956843,-0.07051759040595926,-0.02580188538753202,-0.016311574710740753,-0.009806140003462362
