,G1
0,0.24955327141071848
1,0.24775587246858777
2,0.24783168001874856
3,0.2482184774154348
4,0.24806866931078275
5,0.28828515613793115
6,0.46459280764997857
7,0.48255359200641124
8,0.5751124678273527
9,0.5337447340366452
10,0.4070457952944935
11,0.41295658024910153
12,0.45003054591927594
13,0.543393970313673
14,0.3892853570356465
15,0.409971634382714
16,0.39689277234731435
17,0.5623221326235353
18,0.5877023737117497
19,0.5364002306066595
20,0.7573414231763991
21,0.7898586964283822
22,0.6184944891078885
23,0.39941840947801666
