,L1,L2,L3,L4,L5,L6,L7,L8,L9
0,-0.08980345942156297,-0.05315508071434533,-0.004300376337502031,-0.021895707988675416,-0.009990479801895196,-0.02838513127352389,-0.009155626668121707,-0.008413775180834976,-0.008410601386626136
1,-0.08801023844098424,-0.050883430767466896,-0.004302304872414508,-0.021710375573624856,-0.009583192350470303,-0.029524939032385067,-0.009408564635795466,-0.008967203568088847,-0.00896394106674071
2,-0.08808587170248919,-0.05091927148966355,-0.004302465617135523,-0.021725830828490885,-0.009587362965497418,-0.02955824406277124,-0.00941886400172111,-0.008974124810764846,-0.008970861173327049
3,-0.0884717745874693,-0.05131360527967941,-0.004304233768325971,-0.021895873419464782,-0.009633254854988338,-0.02947859092505371,-0.009490070925632157,-0.008649241321413793,-0.008646030342557762
4,-0.08832231217491372,-0.0512419181564801,-0.0043039122784452434,-0.021864960867883174,-0.00962491333534312,-0.029413791061874837,-0.009469641865273933,-0.008637031311628829,-0.008633822276627316
5,-0.12842668147725905,-0.08098047328521543,-0.011098267548425755,-0.03257592788227648,-0.016151002597283352,-0.034737207308271845,-0.012828043295185491,-0.008588217394811082,-0.008585017056824587
6,-0.3037950506043815,-0.20526474965460795,-0.037229545534473746,-0.07698854911353556,-0.04115093129432243,-0.06506276196871599,-0.028503821034749972,-0.009575269982543618,-0.009571909167603245
7,-0.3216208858701624,-0.21991784081284235,-0.0444845382046236,-0.0797600315146893,-0.04447538045914104,-0.06733387371977693,-0.029036967763577975,-0.015062268232308808,-0.01505791721375228
8,-0.4133854194713719,-0.262758017571016,-0.052006135684160223,-0.10230473211592629,-0.05569669243414699,-0.10340317932722787,-0.04409140567855054,-0.023653888159438457,-0.02364525680542787
9,-0.3724293640738064,-0.19145112884371016,-0.028613180119888667,-0.09549005072727568,-0.0405929268209372,-0.1414643289693292,-0.050438635120701486,-0.031380517938052584,-0.03134994941789593
10,-0.2466798375739912,-0.09376121791540759,-0.0064088285729053274,-0.060149363600420086,-0.02035260813853802,-0.12947233402549665,-0.03907993880687821,-0.04025114021481122,-0.04019164826330343
11,-0.25256367297583404,-0.09339952482997463,-0.006407220351866436,-0.059992280944265994,-0.020310451199590976,-0.13577813734944272,-0.03967960919206082,-0.04595622180064756,-0.04587324653189232
12,-0.28940342712362216,-0.12166514997224114,-0.01228330358003479,-0.06840045846849124,-0.023244660837426108,-0.1438617180508695,-0.04366902777161366,-0.04555752877839094,-0.04546405375844865
13,-0.38202828204054573,-0.1856753964317106,-0.026288020421951094,-0.09385077921878693,-0.03901891065516277,-0.15768555485318686,-0.05157171857830503,-0.04531455794835816,-0.04522112109980697
14,-0.22902478075835878,-0.09309623630116552,-0.00640302576365884,-0.05103380101828398,-0.019530366028802395,-0.11382968409566753,-0.03310035708492868,-0.042404248954202944,-0.04232702129051956
15,-0.2495884986593783,-0.09596053386324262,-0.006405446939340066,-0.058956680620323255,-0.017232635293835397,-0.13524050866223225,-0.040750253083749494,-0.04144339107341874,-0.04138382109790276
16,-0.23657553670887066,-0.08932561988216108,-0.006405926704292505,-0.056083138977711146,-0.0164932849479025,-0.1300718548066455,-0.03900519838149254,-0.04120132345206967,-0.04116321027774493
17,-0.40072241785808216,-0.20916523680583576,-0.03349138671727284,-0.099254797279702,-0.04226814018949197,-0.15442684521851346,-0.05321376571282671,-0.04224465546522076,-0.042225163053980046
18,-0.4258266105759757,-0.24000336095404604,-0.0426810886315564,-0.10421715364260267,-0.046526766677637034,-0.14916238528621723,-0.05389066238778989,-0.04063776381481964,-0.040622366580233965
19,-0.37501390791427913,-0.22546910059696698,-0.04268204441914312,-0.08946764061455054,-0.04624739880722279,-0.11340646772733327,-0.04242789607602118,-0.037210064095020166,-0.037196203596034504
20,-0.5934302204762342,-0.39261337301673066,-0.08288998905143762,-0.14650637604338457,-0.08074940565041958,-0.13747852109123293,-0.06014890405812032,-0.03213351517398771,-0.03212246391489694
21,-0.6254891246350899,-0.4235435537208879,-0.09041445517316989,-0.15694114479399066,-0.08706437394805742,-0.13358260740984304,-0.05771919891442755,-0.028631275063159788,-0.02862190567900058
22,-0.456295871306251,-0.30563286736809425,-0.058874916574797626,-0.11792604794118573,-0.06156036450297002,-0.10134962733150875,-0.044925836027203146,-0.012589974611990453,-0.012586022394048749
23,-0.23905155664050579,-0.15166017153356134,-0.025685511888102714,-0.06293683497131733,-0.030010363162401812,-0.06399862750143147,-0.02580185058025437,-0.0098094427432935,-0.009806039669755878
