name,v_nom,type,x,y,control,generator,sub_network,osm_name
DT9_11,11.0,DT9,76.7599,30.6866,PQ,,0,DT9
DT9_415,0.415,DT9,76.7599,30.6866,PQ,,0,DT9
DT1_11,11.0,DT1,76.7658,30.6889,PQ,,0,DT1
DT1_415,0.415,DT1,76.7658,30.6889,PQ,,0,DT1
DT8_11,11.0,DT8,76.7614,30.6869,PQ,,0,DT8
DT8_415,0.415,DT8,76.7614,30.6869,PQ,,0,DT8
DT7_11,11.0,DT7,76.7614,30.6869,PQ,,0,DT7
DT7_415,0.415,DT7,76.7614,30.6869,PQ,,0,DT7
DT5_11,11.0,DT5,76.7615,30.6882,PQ,,0,DT5
DT5_415,0.415,DT5,76.7615,30.6882,PQ,,0,DT5
DT6_11,11.0,DT6,76.7615,30.6882,PQ,,0,DT6
DT6_415,0.415,DT6,76.7615,30.6882,PQ,,0,DT6
DT2_11,11.0,DT2,76.7646,30.6889,PQ,,0,DT2
DT2_415,0.415,DT2,76.7646,30.6889,PQ,,0,DT2
DT3_11,11.0,DT3,76.7639,30.6897,PQ,,0,DT3
DT3_415,0.415,DT3,76.7639,30.6897,PQ,,0,DT3
DT4_11,11.0,DT4,76.7617,30.69,PQ,,0,DT4
DT4_415,0.415,DT4,76.7617,30.69,PQ,,0,DT4
SS1_33,33.0,Substation,76.7664,30.6902,Slack,G1,0,SS1_33
SS1_11,11.0,Substation,76.7664,30.6902,PQ,,0,SS1_11
