,L1,L2,L3,L4,L5,L6,L7,L8,L9
0,-0.07851609343405257,-0.0401267979004419,-0.0086943137912113,-0.015588926966445999,-0.0101131614941429,-0.02916499065782417,-0.0070079055591467,-0.019154738159512498,-0.0114075856960346
1,-0.14981980754242213,-0.07167831202056889,-0.008797977814879,-0.030816043361401098,-0.0134356070426729,-0.06374883770578663,-0.0171545071461713,-0.0266952379660065,-0.0160167036656817
2,-0.15001700317697841,-0.0717697290248687,-0.0087983079550818,-0.0308554718379137,-0.0134461880794517,-0.0638381566133034,-0.0171798646651412,-0.026718229176632198,-0.016030804769976
3,-0.15161765758745283,-0.07295815016076561,-0.0088025997777177,-0.031368042112577404,-0.0135837415575755,-0.0640364134922642,-0.0174521725764847,-0.026115512513386,-0.0156704472829577
4,-0.15200601138912562,-0.07314098417936521,-0.0088032600581233,-0.0314468990756026,-0.013604903631133,-0.06420901382985791,-0.0175025379822581,-0.026155997359019204,-0.0156953344193337
5,-0.2569686406302085,-0.13480030182861472,-0.022714822404467,-0.0537416461748842,-0.0270807310852618,-0.09710541833486988,-0.0246649587505762,-0.047398342666844874,-0.0160005888361381
6,-0.5935502728910946,-0.250769284223199,-0.0453160765791835,-0.0967569023372306,-0.050741488916426,-0.29796361831190893,-0.0404352052874395,-0.21782666984077892,-0.0178266698407789
7,-0.6168903912837072,-0.2832316128084334,-0.0691013513077866,-0.097286266643201,-0.0574538419468811,-0.2906965443301508,-0.0377071809406512,-0.23120883764221292,-0.0312088376422129
8,-0.7842540117968158,-0.36363098834942964,-0.0849443099261151,-0.1380257181198298,-0.0770659776152941,-0.35564630428610244,-0.072521753622536,-0.2798073454230682,-0.0798073454230682
9,-1.0554870448376676,-0.4660552408502664,-0.0948438491885745,-0.2166960268405138,-0.0923810572083271,-0.5052052972942955,-0.134511868067023,-0.33145136741878434,-0.1314513674187843
10,-0.6848937952320628,-0.1539167091328576,-0.013041470686817,-0.1171099027318637,-0.0328325877134089,-0.48873320049110724,-0.1120806657970487,-0.39396123940353067,-0.1939612394035307
11,-0.7341058274729291,-0.1633164955728576,-0.013041470686817,-0.1265096891718637,-0.0328325877134089,-0.5285454462919735,-0.1286271806664855,-0.4259262480951783,-0.2259262480951783
12,-0.7565789196764496,-0.17553378762294342,-0.013041470686817,-0.1387269812219495,-0.0269330398134947,-0.5482895808250597,-0.1476483046168245,-0.41329913144680197,-0.213299131446802
13,-1.06944959409294,-0.6619065957719044,-0.1409965908062015,-0.2964589006490828,-0.1217099643086534,-0.30375706032835115,-0.1966762438978571,-0.0831542035869535,-0.2110223798097668
14,-0.6157895058787896,-0.1332595472720576,-0.013041470686817,-0.0964527408710637,-0.0277635586926089,-0.44843867098503365,-0.1102476560881016,-0.3964756642303652,-0.1964756642303652
15,-0.683920018211694,-0.1656061342924846,-0.013041470686817,-0.1287993278914907,-0.0251001705630359,-0.48850616473104325,-0.1255182250572695,-0.35268987846508615,-0.1526898784650861
16,-0.6585381611058301,-0.15648326977248458,-0.013041470686817,-0.1196764633714907,-0.0251001705630359,-0.4722471721451793,-0.1104665777240838,-0.3333382281606449,-0.1333382281606449
17,-1.06944959409294,-0.671035667235086,-0.1391012648567049,-0.2927352997664544,-0.1302233972940602,-0.2907333526074597,-0.1604258614994791,-0.020685595583182614,-0.1150493286413811
18,-1.06944959409294,-0.75627819605396,-0.163047617587682,-0.3082802016170036,-0.1460711124998075,-0.2001113023495118,-0.1591428239895827,0.10090426385994392,-0.0990957361400561
19,-0.7528845541822169,-0.4071566064902017,-0.0860737065329927,-0.16423168424364132,-0.0851552077478397,-0.2784759174318589,-0.0859667395177546,-0.1292748973329761,-0.0771814131887335
20,-0.7794584283959688,-0.454513340225836,-0.0973763144615675,-0.1796891857650808,-0.095886653295285,-0.24958661208079191,-0.0864949066080185,-0.0998286481641921,-0.0594498698454614
21,-0.7500226871800739,-0.454528858165836,-0.0973763144615675,-0.1797047037050808,-0.095886653295285,-0.220135352924897,-0.0733060724488556,-0.0835974363569429,-0.0501776044071767
22,-0.6318171340357078,-0.4200478560005109,-0.0904208634285984,-0.16485399828695252,-0.0891593206049993,-0.14159779576652692,-0.0630013362740862,-0.0230605794109544,-0.0136126779123079
23,-0.3985118710875962,-0.2509875260162232,-0.0521658827472683,-0.10376030041224729,-0.0521589908084282,-0.10588132881639309,-0.0431112596410973,-0.019560539847974,-0.011636686186037
