,snapshot,objective,stores,generators
0,2023-05-11T00:00:00,1,1,1
1,2023-05-11T01:00:00,1,1,1
2,2023-05-11T02:00:00,1,1,1
3,2023-05-11T03:00:00,1,1,1
4,2023-05-11T04:00:00,1,1,1
5,2023-05-11T05:00:00,1,1,1
6,2023-05-11T06:00:00,1,1,1
7,2023-05-11T07:00:00,1,1,1
8,2023-05-11T08:00:00,1,1,1
9,2023-05-11T09:00:00,1,1,1
10,2023-05-11T10:00:00,1,1,1
11,2023-05-11T11:00:00,1,1,1
12,2023-05-11T12:00:00,1,1,1
13,2023-05-11T13:00:00,1,1,1
14,2023-05-11T14:00:00,1,1,1
15,2023-05-11T15:00:00,1,1,1
16,2023-05-11T16:00:00,1,1,1
17,2023-05-11T17:00:00,1,1,1
18,2023-05-11T18:00:00,1,1,1
19,2023-05-11T19:00:00,1,1,1
20,2023-05-11T20:00:00,1,1,1
21,2023-05-11T21:00:00,1,1,1
22,2023-05-11T22:00:00,1,1,1
23,2023-05-11T23:00:00,1,1,1
